Image Name,Sigma,Intensity,Detail,PSNR (dB)
crab,15.0,10.0,35.0,25.643211135067162
crab,15.0,10.0,40.0,25.63730935189277
crab,15.0,10.0,45.0,25.51197200229105
crab,15.0,10.0,50.0,25.12487997145987
crab,15.0,10.0,55.0,25.017167335776364
crab,15.0,10.0,60.0,24.30222222101641
crab,15.0,10.0,65.0,22.8444648257067
crab,15.0,10.0,70.0,24.924089711289874
crab,15.0,10.0,75.0,24.859303962634005
crab,15.0,10.0,80.0,24.3369445238482
crab,15.0,10.0,85.0,24.71949839300793
crab,15.0,10.0,90.0,22.2103371190205
crab,15.0,10.0,95.0,24.58622890079064
crab,20.0,1.0,0.0,21.648603372115645
crab,20.0,1.0,5.0,23.836322456321515
